Rank,CMC_ID,Name,Symbol,Slug,Price_USD,MarketCap,Volume24h,CirculatingSupply,TotalSupply,MaxSupply,DateAdded,ConfidenceScore,Confidence,Reason,BinanceSymbol,BaseAsset,QuoteAsset,AvailableMarkets,FirstHourlyCandle,LastPrice,24hVolume,Trades24h,PriceChange24h,Status
15,512,Stellar,XLM,stellar,0.1781260080161594,6087438312.390289,133748283.77912036,34174898883.031406,50001786839.91248,50001806812,2014-08-05T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",XLMUSDT,XLM,USDT,XLMETH;XLMEUR;XLMJPY;XLMTRY;XLMU;XLMUSD1;XLMUSDC;XLMUSDT,2018-05-31T09:00:00+00:00,0.1786,11125754.88,67657,-2.298,READY
16,2010,Cardano,ADA,cardano,0.1646486977198525,6008014418.109585,213434220.5754956,36489899411.97189,44993202652.386566,45000000000,2017-10-01T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",ADAUSDT,ADA,USDT,ADABRL;ADABTC;ADAETH;ADAEUR;ADAFDUSD;ADAIDR;ADAJPY;ADATRY;ADAU;ADAUSD1;ADAUSDC;ADAUSDT,2018-04-17T04:00:00+00:00,0.1646,9308238.32,44540,-1.614,READY
17,37263,Canton,CC,canton-network,0.1189430890413582,4656156978.499743,12347042.67370367,39146090924.88535,39146090924.88535,,2025-07-08T04:07:45.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
18,4943,Dai,DAI,multi-collateral-dai,0.9997325655329956,4639396896.833623,35957274.43936529,4640637963.373919,4640637963.373919,,2019-11-22T00:00:00.000Z,0,,Stablecoin,,,,,,,,,,STABLECOIN_SKIP
19,1831,Bitcoin Cash,BCH,bitcoin-cash,209.7691166324517,4209164163.611786,97648281.3,20065700,20065700,21000000,2017-07-23T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",BCHUSDT,BCH,USDT,BCHBTC;BCHEUR;BCHFDUSD;BCHJPY;BCHTRY;BCHU;BCHUSD1;BCHUSDC;BCHUSDT,2019-11-28T10:00:00+00:00,211.3,3094729.066,23840,0.38,READY
20,36148,World Liberty Financial USD,USD1,usd1,0.9986785369941852,4140132708.910278,1025191854.9401948,4145610980.457452,4145610980.457452,,2025-04-13T05:37:56.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",USD1USDT,USD1,USDT,USD1TRY;USD1U;USD1USDC;USD1USDT,2025-05-22T12:00:00+00:00,0.9997,133988662,187381,0.006,READY
21,29470,Ethena USDe,USDe,ethena-usde,0.999934212,3988210444.452169,29326665.05239705,3988472837.759209,3988472837.759209,,2024-02-20T11:05:01.000Z,0,,Stablecoin,,,,,,,,,,STABLECOIN_SKIP
22,11419,Gram (prev. Toncoin),GRAM,gram,1.454654308954721,3976266017.615601,50053458.44331982,2733478320.682835,5219829702.957956,,2021-08-26T13:40:22.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",GRAMUSDT,GRAM,USDT,GRAMFDUSD;GRAMIDR;GRAMTRY;GRAMU;GRAMUSD1;GRAMUSDC;GRAMUSDT,2026-07-02T08:00:00+00:00,1.466,5657255.06,28348,0.825,READY
23,2,Litecoin,LTC,litecoin,46.35348404955761,3588814970.129433,257144822.2043461,77422766.45899035,84000000,84000000,2013-04-28T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",LTCUSDT,LTC,USDT,LTCBNB;LTCBRL;LTCBTC;LTCETH;LTCEUR;LTCFDUSD;LTCJPY;LTCTRY;LTCU;LTCUSD1;LTCUSDC;LTCUSDT,2017-12-13T03:00:00+00:00,46.37,12267434.21,114936,-1.758,READY
24,33793,Global Dollar,USDG,global-dollar-usdg,0.9999574515925542,3265385640,236826345.21644983,3265524582.796733,3265524582.796733,,2024-11-05T04:54:47.000Z,0,,Stablecoin,,,,,,,,,,STABLECOIN_SKIP
25,4642,Hedera,HBAR,hedera,0.070764138,3098839181.1201706,42767070.09469657,43791096250.844505,50000000000,50000000000,2019-09-17T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",HBARUSDT,HBAR,USDT,HBARBNB;HBARBTC;HBARIDR;HBARTRY;HBARUSDC;HBARUSDT,2019-09-29T04:00:00+00:00,0.07027,5364865.348,52560,-0.847,READY
26,20947,Sui,SUI,sui,0.717648015,2908149511.343546,209661222.0444945,4052334085.342099,10000000000,10000000000,2022-07-12T08:03:11.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",SUIUSDT,SUI,USDT,SUIBNB;SUIBRL;SUIBTC;SUIEUR;SUIFDUSD;SUIIDR;SUIJPY;SUITRY;SUIU;SUIUSD1;SUIUSDC;SUIUSDT,2023-05-03T12:00:00+00:00,0.7113,19619380.06,131080,-4.395,READY
27,27772,PayPal USD,PYUSD,paypal-usd,0.9995644154130634,2690126172.280377,75042583.04482886,2691298460.408577,2691298460.408577,,2023-08-21T14:30:00.000Z,0,,Stablecoin,,,,,,,,,,STABLECOIN_SKIP
28,5805,Avalanche,AVAX,avalanche,6.200982010322602,2677410164,273291543.9510148,431771961.1772119,463441061.1772119,715748719,2020-07-13T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",AVAXUSDT,AVAX,USDT,AVAXBRL;AVAXBTC;AVAXEUR;AVAXFDUSD;AVAXIDR;AVAXTRY;AVAXU;AVAXUSD1;AVAXUSDC;AVAXUSDT,2020-09-22T06:00:00+00:00,6.265,9908040.123,116764,-0.271,READY
29,3635,Cronos,CRO,cronos,0.05653053,2672479273.5467844,6311951.713,47274972680.388855,98808311135.61748,1E+11,2018-12-14T00:00:00.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
30,5176,Tether Gold,XAUT,tether-gold,4070.436019115305,2494459497.125108,141310333.21054894,612823.6595,707747.089,,2020-02-07T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",XAUTUSDT,XAUT,USDT,XAUTBTC;XAUTTRY;XAUTU;XAUTUSD1;XAUTUSDC;XAUTUSDT,2026-03-26T14:00:00+00:00,4054.3,22518814.54,55060,0.283,READY
31,5994,Shiba Inu,SHIB,shiba-inu,4.143875576285343e-06,2441749127.493616,55530879.00533611,589242867586881.2,589499570592486.5,589552695333683.0,2020-08-01T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",SHIBUSDT,SHIB,USDT,SHIBBRL;SHIBEUR;SHIBFDUSD;SHIBJPY;SHIBTRY;SHIBUSDC;SHIBUSDT,2021-05-10T11:00:00+00:00,4.19e-06,2381147.19,16039,1.453,READY
32,7083,Uniswap,UNI,uniswap,3.8267400665682754,2392460904.838876,153932256.75531414,625195561.5538775,892330420.0329479,,2020-09-17T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",UNIUSDT,UNI,USDT,UNIBTC;UNITRY;UNIU;UNIUSD1;UNIUSDC;UNIUSDT,2020-09-17T03:00:00+00:00,3.806,11701744.01,71117,1.089,READY
33,6535,NEAR Protocol,NEAR,near-protocol,1.810659100990152,2356963006.1109915,134457398.2002034,1301715494,1301715494,,2020-08-11T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",NEARUSDT,NEAR,USDT,NEARBRL;NEARBTC;NEAREUR;NEARJPY;NEARTRY;NEARU;NEARUSD1;NEARUSDC;NEARUSDT,2020-10-14T05:00:00+00:00,1.808,16773259.51,84983,-4.641,READY
